range	TN	FN	region	rangeInf	rangeSupp	VPN	confint95a	confint95b
(5.35e+04,5.7e+04]	200	0	intron5p	53523	57032	0	0	0,01827534
(5.7e+04,6.15e+04]	200	0	intron5p	57032	61468	0	0	0,01827534
(6.15e+04,6.67e+04]	200	0	intron5p	61468	66688	0	0	0,01827534
(6.67e+04,7.17e+04]	200	0	intron5p	66688	71722	0	0	0,01827534
(7.17e+04,7.84e+04]	200	0	intron5p	71722	78401	0	0	0,01827534
(7.84e+04,8.4e+04]	200	0	intron5p	78401	84026	0	0	0,01827534
(8.4e+04,9.07e+04]	200	0	intron5p	84026	90660	0	0	0,01827534
(9.07e+04,1.01e+05]	200	0	intron5p	90660	100921	0	0	0,01827534
(1.01e+05,1.11e+05]	200	0	intron5p	100921	111237	0	0	0,01827534
(1.11e+05,1.25e+05]	200	0	intron5p	111237	124871	0	0	0,01827534
(1.25e+05,Inf]	321	0	intron5p	124871	Inf	0	0	0,01142606
